snomedConcept,snomedIdentifier,descendantId,descendantConcept,query,propagation
Neuromyelitis optica (disorder),25044007,25044007,Neuromyelitis optica (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<18234004|Optic nerve structure (body structure)|,116676008|Associated morphology (attribute)| = 32693004|Demyelination (morphologic abnormality)|,370135005|Pathological process (attribute)| = 769247005|Abnormal immune process (qualifier value)|} AND [1..1]{363698007|Finding site (attribute)| = <<2748008|Spinal cord structure (body structure)|,116676008|Associated morphology (attribute)| = 32693004|Demyelination (morphologic abnormality)|,370135005|Pathological process (attribute)| = 769247005|Abnormal immune process (qualifier value)|} AND [1..1]{363698007|Finding site (attribute)| = <<18234004|Optic nerve structure (body structure)|,116676008|Associated morphology (attribute)| = 409774005|Inflammatory morphology (morphologic abnormality)|,370135005|Pathological process (attribute)| = 769247005|Abnormal immune process (qualifier value)|} AND [1..1]{363698007|Finding site (attribute)| = <<2748008|Spinal cord structure (body structure)|,116676008|Associated morphology (attribute)| = 409774005|Inflammatory morphology (morphologic abnormality)|,370135005|Pathological process (attribute)| = 769247005|Abnormal immune process (qualifier value)|})&limit=7000",1
Cardioversion (procedure),250980009,440142000,Cardioversion using medication (procedure),(*):  ([1..1]{363704007|Procedure site (attribute)| = <<80891009|Heart structure (body structure)|} AND [1..1]{363702006|Has focus (attribute)| = 698247007|Cardiac arrhythmia (disorder)|})&limit=7000,7
Pediculosis corporis (disorder),25188002,25188002,Pediculosis corporis (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<39937001|Skin structure (body structure)|,370135005|Pathological process (attribute)| = 442614005|Parasitic process (qualifier value)|,246075003|Causative agent (attribute)| = 84936006|Pediculus humanus (organism)|})&limit=7000",1
Female cystocele (disorder),252005008,102331000119107,Female cystourethrocele (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<89837001|Urinary bladder structure (body structure)|,116676008|Associated morphology (attribute)| = 29696001|Prolapse (morphologic abnormality)|} AND [1..1]{363698007|Finding site (attribute)| = <<263355003|Vaginal wall (body structure)|,116676008|Associated morphology (attribute)| = 29696001|Prolapse (morphologic abnormality)|})&limit=7000",16
Children's hearing test (procedure),252957005,417491009,Neonatal hearing test (procedure),"(*):  ([1..1]{260686004|Method (attribute)| = 129449000|Functional assessment - action (qualifier value)|,405813007|Procedure site - Direct (attribute)| = <<91159003|Structure of auditory system (body structure)|} AND [1..1]{363703001|Has intent (attribute)| = 261004008|Diagnostic intent (qualifier value)|})&limit=7000",28
Klatskin's tumor (disorder),253017000,253017000,Klatskin's tumor (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<56732008|Structure of hepatic duct (body structure)|,116676008|Associated morphology (attribute)| = 70179006|Cholangiocarcinoma (morphologic abnormality)|})&limit=7000",1
Chiari malformation (disorder),253184003,23941000119108,Arnold Chiari type 2 without hydrocephalus (disorder),"(*):  ([1..1]{246454002|Occurrence (attribute)| = 255399007|Congenital (qualifier value)|,363698007|Finding site (attribute)| = <<113305005|Cerebellar structure (body structure)|,116676008|Associated morphology (attribute)| = 414403008|Herniated structure (morphologic abnormality)|,370135005|Pathological process (attribute)| = 308490002|Pathological developmental process (qualifier value)|})&limit=7000",9
Atrioventricular septal defect and common atrioventricular junction (disorder),253414002,871643004,Atrioventricular septal defect with balanced ventricles (disorder),"(*):  ([1..1]{246454002|Occurrence (attribute)| = 255399007|Congenital (qualifier value)|,363698007|Finding site (attribute)| = <<14692001|Structure of atrioventricular septum (body structure)|,116676008|Associated morphology (attribute)| = 396351009|Congenital septal defect (morphologic abnormality)|,370135005|Pathological process (attribute)| = 308490002|Pathological developmental process (qualifier value)|} AND [1..1]{246454002|Occurrence (attribute)| = 255399007|Congenital (qualifier value)|,363698007|Finding site (attribute)| = <<312522004|Common (non-mitral, non-tricuspid) atrioventricular valve structure (body structure)|,116676008|Associated morphology (attribute)| = 49755003|Morphologically abnormal structure (morphologic abnormality)|,370135005|Pathological process (attribute)| = 308490002|Pathological developmental process (qualifier value)|})&limit=7000",24
Pulmonary atresia with intact ventricular septum (disorder),253590009,719955006,Atresia of pulmonary valve (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<39057004|Pulmonary valve structure (body structure)|,116676008|Associated morphology (attribute)| = 410069005|Impatent structure (morphologic abnormality)|})&limit=7000",5
Mullerian aplasia (disorder),253828000,699275001,WNT4 Müllerian aplasia and ovarian dysfunction (disorder),"(*):  ([1..1]{246454002|Occurrence (attribute)| = 255399007|Congenital (qualifier value)|,363698007|Finding site (attribute)| = <<26896004|Structure of paramesonephric duct (body structure)|,116676008|Associated morphology (attribute)| = 45486003|Aplasia (morphologic abnormality)|,370135005|Pathological process (attribute)| = 308490002|Pathological developmental process (qualifier value)|})&limit=7000",2
Ichthyosis vulgaris (disorder),254157005,890235002,Autosomal recessive epidermolytic ichthyosis (disorder),"(*):  ([1..1]{246454002|Occurrence (attribute)| = 255399007|Congenital (qualifier value)|,363698007|Finding site (attribute)| = <<181469002|Entire skin (body structure)|,116676008|Associated morphology (attribute)| = 26996000|Hyperkeratosis (morphologic abnormality)|,370135005|Pathological process (attribute)| = 308490002|Pathological developmental process (qualifier value)|} AND [1..1]{363714003|Interprets (attribute)| = 44138005|Keratinization, function (observable entity)|,363713009|Has interpretation (attribute)| = 263654008|Abnormal (qualifier value)|})&limit=7000",54
Squamous cell carcinoma in situ of skin (disorder),254656002,449064001,Bowen's disease of skin of buttock (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<39937001|Skin structure (body structure)|,116676008|Associated morphology (attribute)| = 84999002|Bowen's disease (morphologic abnormality)|})&limit=7000",21
Malignant neoplasm of breast (disorder),254837009,1082701000112100,Locally advanced breast cancer (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<76752008|Breast structure (body structure)|,116676008|Associated morphology (attribute)| = 367651003|Malignant neoplasm of primary, secondary, or uncertain origin (morphologic abnormality)|})&limit=7000",22
Carcinoma of prostate (disorder),254900004,254900004,Carcinoma of prostate (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<41216001|Prostatic structure (body structure)|,116676008|Associated morphology (attribute)| = 68453008|Carcinoma, no subtype (morphologic abnormality)|})&limit=7000",1
Intracranial tumor (disorder),254935002,448563005,Functionless pituitary neoplasm (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<128319008|Intracranial structure (body structure)|,116676008|Associated morphology (attribute)| = 108369006|Neoplasm (morphologic abnormality)|})&limit=7000",21
Ventricular tachycardia (disorder),25569003,21421000119109,Nonsustained paroxysmal ventricular tachycardia (disorder),"(*):  ([1..1]{363714003|Interprets (attribute)| = 364075005|Heart rate (observable entity)|,363713009|Has interpretation (attribute)| = 35105006|Increased (qualifier value)|} AND [1..1]{363698007|Finding site (attribute)| = <<277943000|Ventricular conducting pathway (body structure)|})&limit=7000",29
Photodynamic therapy (procedure),257891001,1004084009,Intense pulsed light therapy of eyelid (procedure),"(*):  ([1..1]{260686004|Method (attribute)| = 360270004|Therapy - action (qualifier value)|,424244007|Using energy (attribute)| = 56242006|Light, electromagnetic radiation (physical force)|})&limit=7000",30
Complete transposition of great vessels (disorder),26146002,26146002,Complete transposition of great vessels (disorder),"(*):  ([1..1]{246454002|Occurrence (attribute)| = 255399007|Congenital (qualifier value)|,363698007|Finding site (attribute)| = <<81040000|Pulmonary artery structure (body structure)|,116676008|Associated morphology (attribute)| = 27317008|Complete transposition (morphologic abnormality)|,370135005|Pathological process (attribute)| = 308490002|Pathological developmental process (qualifier value)|} AND [1..1]{246454002|Occurrence (attribute)| = 255399007|Congenital (qualifier value)|,363698007|Finding site (attribute)| = <<15825003|Aortic structure (body structure)|,116676008|Associated morphology (attribute)| = 27317008|Complete transposition (morphologic abnormality)|,370135005|Pathological process (attribute)| = 308490002|Pathological developmental process (qualifier value)|} AND [1..1]{246454002|Occurrence (attribute)| = 255399007|Congenital (qualifier value)|,363698007|Finding site (attribute)| = <<80891009|Heart structure (body structure)|,116676008|Associated morphology (attribute)| = 783804002|Abnormal communication (morphologic abnormality)|,370135005|Pathological process (attribute)| = 308490002|Pathological developmental process (qualifier value)|})&limit=7000",1
Ulcer of mouth (disorder),26284000,723177002,Recurrent ulcer of mouth (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<123851003|Mouth region structure (body structure)|,116676008|Associated morphology (attribute)| = 56208002|Ulcer (morphologic abnormality)|})&limit=7000",24
Diabetic coma with ketoacidosis (disorder),26298008,26298008,Ketoacidotic coma due to diabetes mellitus (disorder),"(*):  ([1..1]{363714003|Interprets (attribute)| = 81065003|pH measurement (procedure)|,363713009|Has interpretation (attribute)| = <<281300000|Below reference range (qualifier value)|} AND [1..1]{42752001|Due to (attribute)| = 73211009|Diabetes mellitus (disorder)|} AND [1..1]{363698007|Finding site (attribute)| = <<12738006|Brain structure (body structure)|} AND [1..1]{363714003|Interprets (attribute)| = 401156005|Plasma osmolality (observable entity)|,363713009|Has interpretation (attribute)| = 281302008|Above reference range (qualifier value)|} AND [1..1]{363714003|Interprets (attribute)| = 33747003|Glucose measurement, blood (procedure)|,363713009|Has interpretation (attribute)| = 281302008|Above reference range (qualifier value)|})&limit=7000",1
Dislocation of patellofemoral joint (disorder),263029007,733456002,Triphalangeal thumb and dislocation of patella syndrome (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<129160003|Structure of patellofemoral joint (body structure)|,116676008|Associated morphology (attribute)| = 87642003|Dislocation (morphologic abnormality)|})&limit=7000",8
Fractured nasal bones (disorder),263171005,263171005,Fractured nasal bones (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<74386004|Nasal bone structure (body structure)|,116676008|Associated morphology (attribute)| = 771485007|Fracture of multiple bones (morphologic abnormality)|})&limit=7000",1
Fracture of proximal end of femur (disorder),263225007,15970001000004108,Periprosthetic fracture of proximal femur (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<310651003|Bone structure of proximal femur (body structure)|,116676008|Associated morphology (attribute)| = 72704001|Fracture (morphologic abnormality)|})&limit=7000",15
Intrauterine artificial insemination (procedure),265064001,426968007,Intrauterine insemination with controlled ovarian hyperstimulation using partner sperm (procedure),"(*):  ([1..1]{260686004|Method (attribute)| = 129325002|Introduction - action (qualifier value)|,405814001|Procedure site - Indirect (attribute)| = 52393002|Endometrial cavity structure (body structure)|,363701004|Direct substance (attribute)| = 6993007|Seminal fluid (substance)|})&limit=7000",5
Methicillin resistant Staphylococcus aureus infection (disorder),266096002,127421000119109,Toxic shock syndrome caused by methicillin resistant Staphylococcus aureus infection (disorder),"(*):  ([1..1]{370135005|Pathological process (attribute)| = 441862004|Infectious process (qualifier value)|,246075003|Causative agent (attribute)| = 115329001|Methicillin resistant Staphylococcus aureus (organism)|})&limit=7000",7
Hand foot and mouth disease (disorder),266108008,266108008,Hand foot and mouth disease (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<60496002|Skin structure of foot (body structure)|,370135005|Pathological process (attribute)| = 441862004|Infectious process (qualifier value)|,246075003|Causative agent (attribute)| = 53744000|Human coxsackievirus A (organism)|} AND [1..1]{363698007|Finding site (attribute)| = <<33712006|Skin structure of hand (body structure)|,370135005|Pathological process (attribute)| = 441862004|Infectious process (qualifier value)|,246075003|Causative agent (attribute)| = 53744000|Human coxsackievirus A (organism)|} AND [1..1]{363698007|Finding site (attribute)| = <<113277000|Oral mucous membrane structure (body structure)|,116676008|Associated morphology (attribute)| = 72095004|Vesicular inflammation (morphologic abnormality)|,370135005|Pathological process (attribute)| = 441862004|Infectious process (qualifier value)|,246075003|Causative agent (attribute)| = 53744000|Human coxsackievirus A (organism)|})&limit=7000",1
